destination_name,country,description,key_activities,avg_cost_per_day,family_friendly,label
Tokyo,Japan,"Tokyo’s luxury hotels, Michelin-starred restaurants, and designer shopping attract high-end travelers.","luxury hotels, fine dining, shopping",500,True,Luxury
Tirana,Albania,"Tirana is an affordable Balkan capital with hostels, cafes, and local food.","hostels, cafes, local food",20,True,Budget
Aspen,USA,"Aspen is a luxury ski resort with designer boutiques, gourmet dining, and exclusive chalets.","skiing, designer shopping, gourmet dining",700,True,Luxury
St. Petersburg,Russia,"St. Petersburg is known for its grand palaces, ballet, and world-class museums.","palaces, ballet, museums",140,True,Culture
Los Angeles,USA,"Los Angeles is home to Universal Studios, kid-friendly museums, and beaches.","Universal Studios, museums, beaches",270,True,Family
Siem Reap,Cambodia,Siem Reap is a backpacker base for Angkor Wat with cheap hostels and night markets.,"hostels, night markets, temples",20,True,Budget
Copenhagen,Denmark,"Copenhagen offers safe streets, interactive museums, and parks ideal for children and families.","museums, parks, cycling",200,True,Family
Nice,France,"Nice features pebble beaches, seaside cafes, and a relaxed Riviera atmosphere.","beach, cafes, promenade",180,True,Relaxation
Interlaken,Switzerland,"Interlaken is a hub for outdoor sports, including paragliding, canyoning, and mountain biking in the Swiss Alps.","paragliding, canyoning, mountain biking",160,False,Adventure
Seoul,South Korea,"Seoul has Lotte World, Seoul Land, and family-friendly palaces.","Lotte World, Seoul Land, palaces",210,True,Family
Banff,Canada,"Banff National Park is a haven for hikers and climbers, surrounded by turquoise lakes and rugged peaks.","hiking, climbing, canoeing",140,False,Adventure
Doha,Qatar,"Doha offers opulent hotels, luxury malls, and fine dining along the Corniche.","luxury hotels, malls, fine dining",650,True,Luxury
The Hamptons,USA,"The Hamptons are a summer retreat for the elite, with private beaches and luxury estates.","private beaches, luxury estates, fine dining",900,True,Luxury
Anaheim,USA,"Anaheim is home to Disneyland Resort, offering magical experiences for children and families.","theme parks, Disneyland, family resorts",260,True,Family
Bora Bora,French Polynesia,Bora Bora’s turquoise lagoons and overwater bungalows create a serene escape perfect for unwinding and spa indulgence.,"spa, beach lounging, snorkeling",400,True,Relaxation
Queenstown Luxury,New Zealand,"Queenstown offers high-end lodges, helicopter tours, and exclusive adventure experiences.","luxury lodges, helicopter tours, adventure",750,True,Luxury
Maldives,Maldives,"The Maldives features exclusive overwater villas, private beaches, and premium spa experiences for discerning travelers.","private beach, spa, snorkeling",700,True,Luxury
La Paz Centro,Bolivia,"Centro La Paz has budget hotels, markets, and street food.","hotels, markets, street food",20,True,Budget
St. Tropez,France,"St. Tropez is a Mediterranean hotspot for luxury yachts, designer boutiques, and private beaches.","yachting, designer shopping, private beaches",850,True,Luxury
Sapa,Vietnam,"Sapa is known for terraced rice fields, trekking routes, and ethnic minority villages.","trekking, village visits, hiking",60,False,Adventure
Tbilisi,Georgia,"Tbilisi is a rising budget destination with cheap wine, hostels, and old town charm.","wine, hostels, old town",30,True,Budget
Koh Samui,Thailand,"Koh Samui is a tropical island with palm-fringed beaches, yoga studios, and wellness centers.","beach, yoga, wellness",110,True,Relaxation
San Diego,USA,"San Diego is known for its zoo, SeaWorld, and family-friendly beaches.","zoo, SeaWorld, beaches",210,True,Family
Barcelona,Spain,"Barcelona features the Tibidabo amusement park, city beaches, and science museums.","amusement park, beaches, museums",190,True,Family
Kyoto,Japan,"Kyoto is steeped in tradition, with centuries-old temples, vibrant festivals, and exquisite gardens reflecting Japanese heritage.","temple visits, tea ceremonies, festivals",130,True,Culture
Marrakech,Morocco,"Marrakech enchants with its bustling souks, ancient palaces, and rich blend of Berber and Arab culture.","souks, palace tours, traditional cuisine",90,True,Culture
Cape Town,South Africa,"Cape Town is a paradise for surfers, hikers, and nature lovers with Table Mountain as a backdrop.","surfing, hiking, nature walks",110,False,Adventure
Cairo Downtown,Egypt,"Downtown Cairo has budget hotels, street food, and historic sites.","budget hotels, street food, historic sites",20,True,Budget
Abu Dhabi,United Arab Emirates,"Abu Dhabi boasts opulent hotels, grand mosques, and luxury shopping malls.","luxury hotels, mosques, shopping",550,True,Luxury
Rome,Italy,"Rome features Explora Children's Museum, Bioparco Zoo, and family-friendly parks.","children's museum, zoo, parks",190,True,Family
Phuket,Thailand,"Phuket is famous for its white sand beaches, luxury spas, and tranquil island resorts.","beach, spa, island tours",140,True,Relaxation
Chiang Mai,Thailand,"Chiang Mai is known for its ancient temples, night markets, and traditional festivals.","temples, markets, festivals",60,True,Culture
Orlando,USA,"Orlando is home to world-famous theme parks, water parks, and family-friendly resorts designed for children of all ages.","theme parks, water parks, family resorts",250,True,Family
Tahiti,French Polynesia,"Tahiti’s calm lagoons, overwater bungalows, and spa treatments make it a top relaxation spot.","spa, lagoon swimming, beach",300,True,Relaxation
Fez,Morocco,"Fez is a medieval city with labyrinthine souks, madrasas, and centuries-old craftsmanship.","souks, madrasas, museums",60,True,Culture
Hong Kong,Hong Kong,Hong Kong Disneyland and Ocean Park make it a top family destination in Asia.,"Disneyland, Ocean Park, family attractions",210,True,Family
Lake Geneva,Switzerland,"Lake Geneva features luxury lakeside hotels, spas, and gourmet restaurants.","lakeside hotels, spa, gourmet dining",700,True,Luxury
Manila Intramuros,Philippines,"Intramuros offers budget stays, street eats, and colonial history.","budget stays, street eats, history",20,True,Budget
Budapest,Hungary,"Budapest features thermal baths, ruin pubs, and cheap eats for budget travelers.","thermal baths, ruin pubs, cheap eats",40,True,Budget
Granada,Spain,"Granada is home to the Alhambra, flamenco culture, and Moorish architecture.","Alhambra, flamenco, architecture",90,True,Culture
Vancouver,Canada,"Vancouver has the Science World, aquarium, and Stanley Park for families.","Science World, aquarium, Stanley Park",200,True,Family
Copenhagen Tivoli,Denmark,Tivoli Gardens in Copenhagen is one of the world's oldest amusement parks.,"Tivoli Gardens, amusement park, family attractions",190,True,Family
Orlando Disney,USA,Walt Disney World Resort in Orlando is the ultimate family vacation spot.,"Disney World, theme parks, family resorts",300,True,Family
Marrakech Medina,Morocco,"The Medina offers budget riads, souks, and street food.","riads, souks, street food",20,True,Budget
Sagarmatha National Park,Nepal,Sagarmatha National Park is home to Everest Base Camp treks and Himalayan expeditions.,"trekking, expeditions, mountain climbing",90,False,Adventure
Hanoi Old Quarter,Vietnam,"The Old Quarter in Hanoi is packed with cheap hostels, street food, and lively markets.","hostels, street food, markets",20,True,Budget
Belgrade,Serbia,"Belgrade is known for its affordable nightlife, riverside cafes, and historic fortresses.","nightlife, cafes, fortresses",30,True,Budget
Yosemite,USA,"Yosemite National Park is a mecca for rock climbers, hikers, and nature photographers.","rock climbing, hiking, photography",100,False,Adventure
Jerusalem,Israel,"Jerusalem is a crossroads of religions, with sacred sites and centuries of history.","sacred sites, museums, old city tours",120,True,Culture
Langkawi,Malaysia,"Langkawi is an island escape with quiet beaches, mangrove tours, and luxury resorts.","beach, mangrove tours, spa",130,True,Relaxation
Ubud,Indonesia,"Ubud is a tranquil retreat surrounded by rice terraces, yoga studios, and wellness resorts ideal for relaxation.","yoga, spa, meditation",90,True,Relaxation
Manila,Philippines,"Manila is a bustling city with budget hotels, street eats, and lively markets.","street eats, markets, city tours",25,True,Budget
Courchevel,France,Courchevel is a premier ski resort with Michelin-starred restaurants and luxury chalets.,"skiing, fine dining, luxury chalets",750,True,Luxury
Lima,Peru,"Lima offers affordable ceviche, hostels, and Pacific coast views for budget travelers.","ceviche, hostels, coast views",35,True,Budget
Huaraz,Peru,Huaraz is a budget trekking town with hostels and mountain views.,"trekking, hostels, mountain views",20,True,Budget
Cairo,Egypt,"Cairo’s ancient pyramids, bustling bazaars, and museums showcase millennia of history.","pyramids, museums, bazaars",80,True,Culture
Salzburg,Austria,"Salzburg is Mozart’s birthplace, with baroque palaces and classical music festivals.","music festivals, palaces, museums",130,True,Culture
Mexico City Centro,Mexico,"Centro is the heart of Mexico City with budget eats, museums, and hostels.","budget eats, museums, hostels",25,True,Budget
Marrakesh,Morocco,"Marrakesh offers affordable riads, street food, and lively souks for budget travelers.","riads, street food, souks",30,True,Budget
Zagreb,Croatia,"Zagreb is a walkable city with cheap cafes, museums, and hostels.","cafes, museums, hostels",35,True,Budget
Fiji,Fiji,"Fiji’s islands are perfect for unwinding with soft sand beaches, gentle surf, and wellness retreats.","beach, wellness, snorkeling",190,True,Relaxation
Sanya,China,Sanya is known as the 'Hawaii of China' with luxury beachfront resorts and tropical scenery.,"beach resorts, spa, golf",600,True,Luxury
Stockholm,Sweden,"Stockholm offers Junibacken, Skansen open-air museum, and family-friendly parks.","Junibacken, Skansen, parks",180,True,Family
Goa,India,"Goa is known for its relaxed beaches, yoga retreats, and affordable seaside resorts.","beach, yoga, relaxation",70,True,Relaxation
Madrid,Spain,"Madrid has Parque de Atracciones, zoo, and family-friendly museums.","amusement park, zoo, museums",200,True,Family
Lake Como,Italy,"Lake Como is a tranquil retreat with lakeside villas, gardens, and scenic boat rides.","boat rides, gardens, spa",220,True,Relaxation
Lisbon,Portugal,"Lisbon offers Oceanário, kid-friendly trams, and interactive museums.","Oceanário, trams, museums",170,True,Family
Patagonia,Argentina,"Patagonia offers dramatic landscapes, glacier hikes, and challenging trekking routes for thrill-seekers.","trekking, glacier hiking, wildlife watching",120,False,Adventure
Sentosa,Singapore,"Sentosa Island offers Universal Studios, water parks, and kid-friendly beaches.","Universal Studios, water parks, beaches",220,True,Family
Munich,Germany,"Munich offers the Deutsches Museum, city parks, and LEGOLAND for families.","museums, parks, LEGOLAND",170,True,Family
Chamonix,France,"Chamonix offers world-class skiing, mountaineering, and glacier trekking in the French Alps.","skiing, mountaineering, glacier trekking",210,False,Adventure
Aoraki/Mount Cook,New Zealand,"Aoraki/Mount Cook offers glacier walks, alpine climbing, and stargazing in pristine wilderness.","glacier walks, alpine climbing, stargazing",150,False,Adventure
Blue Mountains,Australia,"The Blue Mountains offer bushwalking, canyoning, and abseiling in dramatic sandstone landscapes.","bushwalking, canyoning, abseiling",120,False,Adventure
St. Barts,France,"St. Barts is a Caribbean island with upscale villas, private beaches, and celebrity sightings.","private beaches, villas, fine dining",800,True,Luxury
Paris,France,"Paris is a cultural capital with world-renowned museums, historic landmarks, and vibrant arts.","museums, art galleries, historic sites",180,True,Culture
Billund,Denmark,"Billund is the birthplace of LEGO and home to LEGOLAND, a paradise for kids.","LEGOLAND, theme parks, family attractions",180,True,Family
Bucharest,Romania,"Bucharest is a budget European capital with cheap hostels, parks, and nightlife.","hostels, parks, nightlife",20,True,Budget
Sofia,Bulgaria,"Sofia offers historic sites, vibrant nightlife, and low-cost living, making it ideal for budget-conscious explorers.","historic sites, nightlife, local cuisine",40,True,Budget
Malaga,Spain,"Malaga offers sunny beaches, palm-lined promenades, and a laid-back Mediterranean vibe.","beach, promenade walks, spa",120,True,Relaxation
Hoi An,Vietnam,"Hoi An is a riverside town with lantern-lit evenings, calm beaches, and boutique resorts.","beach, lantern walks, spa",80,True,Relaxation
Bangkok,Thailand,"Bangkok is a backpacker’s paradise with cheap eats, lively hostels, and bustling street markets.","street food, hostels, markets",30,True,Budget
Orlando Studios,USA,Universal Studios Orlando is a top destination for family entertainment.,"Universal Studios, theme parks, family resorts",260,True,Family
Zermatt,Switzerland,"Zermatt is famed for its alpine skiing, mountaineering, and breathtaking views of the Matterhorn.","alpine skiing, mountaineering, hiking",220,False,Adventure
Dubai Marina,United Arab Emirates,"Dubai Marina is lined with luxury yachts, high-end restaurants, and exclusive beach clubs.","yachting, fine dining, beach clubs",700,True,Luxury
Cusco Backpacker,Peru,Cusco's backpacker district is filled with cheap hostels and lively bars.,"hostels, bars, markets",20,True,Budget
Gstaad,Switzerland,"Gstaad is a glamorous mountain village with luxury chalets, designer boutiques, and gourmet cuisine.","luxury chalets, designer shopping, gourmet cuisine",800,True,Luxury
Cartagena,Colombia,"Cartagena’s walled city, colonial plazas, and Caribbean history make it a cultural treasure.","historic plazas, museums, walking tours",80,True,Culture
Zurich,Switzerland,"Zurich is a financial hub with luxury boutiques, gourmet chocolate, and lakefront hotels.","luxury boutiques, chocolate, hotels",600,True,Luxury
Cannes,France,"Cannes is known for its film festival, luxury hotels, and private beaches.","film festival, luxury hotels, beaches",500,True,Luxury
Mauritius,Mauritius,"Mauritius offers turquoise lagoons, coral reefs, and luxury beach resorts for relaxation.","beach, snorkeling, spa",210,True,Relaxation
Atlanta,USA,"Atlanta offers the Georgia Aquarium, zoo, and interactive science museums for families.","aquarium, zoo, science museums",180,True,Family
Berlin,Germany,"Berlin offers the Berlin Zoo, Legoland Discovery Centre, and family museums.","zoo, Legoland, museums",180,True,Family
Moab,USA,"Moab is famous for its red rock landscapes, mountain biking trails, and canyoneering adventures.","mountain biking, canyoneering, rock climbing",120,False,Adventure
Queenstown,New Zealand,"Queenstown is renowned for its adrenaline-pumping activities, from bungee jumping to alpine hiking amid dramatic mountain scenery.","bungee jumping, hiking, jet boating",180,False,Adventure
Singapore,Singapore,"Singapore boasts world-class zoos, theme parks, and interactive science centers for families.","zoos, theme parks, science centers",220,True,Family
Palm Springs,USA,"Palm Springs is known for its desert spas, golf courses, and mid-century modern resorts.","spa, golf, pool lounging",170,True,Relaxation
Vienna,Austria,"Vienna is famed for its imperial palaces, classical music, and grand museums.","palaces, music halls, museums",160,True,Culture
Belgrade Skadarlija,Serbia,"Skadarlija is a bohemian quarter with affordable cafes, hostels, and live music.","cafes, hostels, live music",20,True,Budget
Valparaiso,Chile,Valparaiso is a colorful port city with budget hostels and street art.,"hostels, street art, port",20,True,Budget
Venice,Italy,"Venice offers luxury canal-side hotels, gourmet dining, and private gondola rides.","gondola rides, gourmet dining, luxury hotels",450,True,Luxury
Petra,Jordan,Petra’s rock-cut architecture and archaeological wonders attract history lovers worldwide.,"archaeology, hiking, museums",100,True,Culture
Port Douglas,Australia,"Port Douglas is a quiet gateway to the Great Barrier Reef, with palm-lined beaches and luxury spas.","beach, spa, reef tours",180,True,Relaxation
Lake District,UK,"The Lake District is known for scenic hiking trails, boating, and outdoor adventures in rolling hills.","hiking, boating, outdoor adventures",110,False,Adventure
Tulum,Mexico,"Tulum offers eco-chic resorts, white sand beaches, and a peaceful Caribbean setting.","beach, eco resorts, spa",160,True,Relaxation
Capri,Italy,"Capri is an exclusive island with luxury hotels, designer shopping, and gourmet seafood.","luxury hotels, shopping, gourmet seafood",800,True,Luxury
Maui,USA,"Maui is a Hawaiian paradise with lush scenery, gentle waves, and world-class wellness retreats.","beach, wellness retreats, snorkeling",250,True,Relaxation
Aspen Highlands,USA,Aspen Highlands is a premier ski destination with luxury lodges and gourmet dining.,"skiing, luxury lodges, gourmet dining",800,True,Luxury
Portofino,Italy,"Portofino is a picturesque harbor town with luxury yachts, designer boutiques, and gourmet seafood.","yachting, designer shopping, gourmet seafood",600,True,Luxury
Los Cabos,Mexico,"Los Cabos is a luxury beach destination with upscale resorts, golf, and private villas.","resorts, golf, private villas",650,True,Luxury
Dubai,United Arab Emirates,"Dubai dazzles with luxury shopping, five-star hotels, and world-class fine dining in a futuristic cityscape.","luxury shopping, fine dining, spa",500,True,Luxury
Queen Charlotte Track,New Zealand,Queen Charlotte Track is a scenic route for hiking and mountain biking along New Zealand’s coast.,"hiking, mountain biking, kayaking",140,False,Adventure
Prague,Czech Republic,"Prague’s cobbled streets, Gothic cathedrals, and historic squares make it a cultural gem.","cathedrals, historic squares, museums",90,True,Culture
Monte Carlo,Monaco,"Monte Carlo is renowned for its grand casino, luxury hotels, and Formula 1 glamour.","casino, luxury hotels, Formula 1",950,True,Luxury
Kathmandu Thamel,Nepal,Thamel is a budget hub for trekkers with cheap guesthouses and lively streets.,"guesthouses, trekking, nightlife",20,True,Budget
London,UK,"London features five-star hotels, exclusive clubs, and luxury shopping districts.","luxury hotels, clubs, shopping",550,True,Luxury
Orlando Water Parks,USA,Orlando's water parks provide endless fun for children and families.,"water parks, family resorts, theme parks",230,True,Family
Beverly Hills,USA,"Beverly Hills is famous for its upscale hotels, celebrity sightings, and luxury shopping on Rodeo Drive.","luxury hotels, shopping, celebrity tours",900,True,Luxury
Sydney,Australia,"Sydney has Taronga Zoo, aquariums, and family beaches.","zoo, aquariums, beaches",200,True,Family
Sofia City,Bulgaria,"Sofia offers affordable museums, hostels, and local cuisine for budget travelers.","museums, hostels, cuisine",20,True,Budget
Hanoi,Vietnam,"Hanoi is a lively city where travelers enjoy affordable street food, bustling markets, and budget hostels.","street food, markets, city tours",35,True,Budget
Gold Coast,Australia,"Gold Coast features sandy beaches, amusement parks, and wildlife sanctuaries perfect for families seeking fun and adventure.","beaches, amusement parks, wildlife",180,True,Family
Beijing,China,"Beijing is home to the Forbidden City, ancient temples, and a deep imperial history.","palace tours, temples, museums",120,True,Culture
Athens,Greece,"Athens is the cradle of Western civilization, with ancient ruins and archaeological museums.","ruins, museums, historic tours",110,True,Culture
New York,USA,"New York City offers world-class museums, Broadway shows, and iconic landmarks.","museums, Broadway, landmarks",250,True,Culture
Santiago,Chile,"Santiago is a South American capital with budget eats, metro access, and lively plazas.","budget eats, metro, plazas",40,True,Budget
Dubai Parks,United Arab Emirates,Dubai Parks and Resorts is a mega theme park complex for families.,"theme parks, water parks, resorts",320,True,Family
Cusco,Peru,"Cusco is a gateway to Machu Picchu, with affordable guesthouses and a backpacker-friendly vibe.","backpacking, local markets, city walks",30,True,Budget
St. Lucia,Saint Lucia,"St. Lucia offers luxury resorts, private beaches, and spa retreats in the Caribbean.","luxury resorts, private beaches, spa",750,True,Luxury
Rotorua,New Zealand,"Rotorua is known for its geothermal parks, mountain biking, and Maori adventure experiences.","mountain biking, geothermal parks, adventure tours",130,False,Adventure
Seychelles,Seychelles,"The Seychelles islands offer quiet beaches, gentle waves, and luxury resorts for a peaceful, restorative holiday.","beach, spa, sailing",350,True,Relaxation
Pokhara,Nepal,"Pokhara is a lakeside city with cheap guesthouses, trekking, and paragliding.","guesthouses, trekking, paragliding",25,True,Budget
Niagara Falls,Canada,"Niagara Falls has family attractions, boat tours, and interactive museums.","boat tours, museums, family attractions",210,True,Family
Santorini,Greece,"Santorini is famous for its sunsets, cliffside pools, and relaxing Mediterranean ambiance.","sunset viewing, spa, beach",200,True,Relaxation
Torres del Paine,Chile,"Torres del Paine National Park offers rugged trekking routes, glacier views, and untouched Patagonian wilderness for true adventurers.","trekking, glacier hiking, wildlife watching",110,False,Adventure
Bali,Indonesia,"Bali’s serene rice terraces, spa retreats, and gentle beaches attract those seeking relaxation.","spa, rice terraces, beach",100,True,Relaxation
Toronto,Canada,"Toronto features the Ontario Science Centre, zoos, and amusement parks for children.","science centre, zoos, amusement parks",180,True,Family
Lofoten Islands,Norway,"Lofoten Islands are perfect for kayaking, hiking, and arctic surfing in dramatic northern scenery.","kayaking, hiking, arctic surfing",160,False,Adventure
